"","rank","bib","name","nation","times","gender","race"
"35",5,538,"Francisca Mena Marquez","CHI",01:34:56,"Mujer","Mountain Classic Senior"
"36",5,787,"Diego Álvarez","CHI",00:36:21,"Hombre","Mountain Classic Junior"
"37",6,11,"Alejandra Vergara Carrasco","CHI",14:28:40,"Mujer","Trail Long"
"38",6,44,"Luis Patagón Soto Ayamante","CHI",09:53:16,"Hombre","Trail Long"
"39",6,170,"Katherine Cañete Arredondo","CHI",05:55:19,"Mujer","Trail Short"
"40",6,175,"Victor Ccanto","CHI",05:05:01,"Hombre","Trail Short"
"41",6,469,"Francisco Mendez morales","CHI",01:11:36,"Hombre","Mountain Classic Senior"
"42",6,556,"josefa paz garay gonzalez","CHI",01:36:47,"Mujer","Mountain Classic Senior"
"43",6,796,"Lucas Maldonado","CHI",00:37:01,"Hombre","Mountain Classic Junior"
"44",7,6,"Yaritza Salas","CHI",14:47:34,"Mujer","Trail Long"
"45",7,42,"Fernando Hector Rojas Ibaceta","CHI",09:57:35,"Hombre","Trail Long"
"46",7,112,"Javier Torres schlegel","CHI",05:14:28,"Hombre","Trail Short"
"47",7,159,"Magdalena Torres","CHI",06:00:54,"Mujer","Trail Short"
"48",7,568,"paula sanchez reyes","CHI",01:36:48,"Mujer","Mountain Classic Senior"
"49",7,596,"Daniel Palma","CHI",01:11:38,"Hombre","Mountain Classic Senior"
"50",7,788,"Matias Ignacio Villarroel Cardenas","CHI",00:37:29,"Hombre","Mountain Classic Junior"
"51",8,16,"Santiago Margozzini Valdés","CHI",09:58:21,"Hombre","Trail Long"
"52",8,110,"Luis Valle B","CHI",05:17:04,"Hombre","Trail Short"
"53",8,163,"Solange Espinoza soto","CHI",06:26:46,"Mujer","Trail Short"
"54",8,445,"Francisco Barros","CHI",01:13:35,"Hombre","Mountain Classic Senior"
"55",8,563,"Isidora Muñoz","CHI",01:36:59,"Mujer","Mountain Classic Senior"
"56",8,803,"Diego Castro","CHI",00:38:10,"Hombre","Mountain Classic Junior"
"57",9,48,"Osvaldo Zuñiga","CHI",10:35:44,"Hombre","Trail Long"
"58",9,145,"Nelson Galindo Sanchez","CHI",05:18:22,"Hombre","Trail Short"
"59",9,158,"Carla Vasquez Collantes","CHI",06:33:07,"Mujer","Trail Short"
"60",9,428,"Juan Pedro Poblete Zapata","CHI",01:14:25,"Hombre","Mountain Classic Senior"
"61",9,580,"Maria Ignacia Vergara Juricic","CHI",01:37:21,"Mujer","Mountain Classic Senior"
"62",9,783,"Agustin Ibacache Mancilla","CHI",00:38:34,"Hombre","Mountain Classic Junior"
"63",10,17,"Yohany Melian","CHI",10:41:56,"Hombre","Trail Long"
"64",10,142,"Juan Carlos Mera cumilef","CHI",05:26:38,"Hombre","Trail Short"
"65",10,165,"Alejandra Castillo San martin","CHI",07:09:04,"Mujer","Trail Short"
"66",10,499,"DANIEL URIBE CARRASCO","CHI",01:15:41,"Hombre","Mountain Classic Senior"
"67",10,546,"Antonia Valenzuela","CHI",01:37:41,"Mujer","Mountain Classic Senior"
"68",10,781,"Gerson Alex Morales Gatica","CHI",00:40:04,"Hombre","Mountain Classic Junior"
"69",11,33,"Esteban Marin Torres","CHI",10:43:07,"Hombre","Trail Long"
"70",11,136,"Gonzalo Salamanca Castillo","CHI",05:43:47,"Hombre","Trail Short"
"71",11,162,"Beverly Henríquez Padilla","CHI",07:12:45,"Mujer","Trail Short"
"72",11,422,"Ignacio Andrés Márquez Sandoval","CHI",01:16:03,"Hombre","Mountain Classic Senior"
"73",11,531,"Marla Collio Encina","CHI",01:37:57,"Mujer","Mountain Classic Senior"
"74",11,776,"Kevin Alejandro Vargas Fuentes","CHI",00:40:59,"Hombre","Mountain Classic Junior"
"75",12,36,"Wladymir Alexander Murua Henriquez","CHI",10:57:57,"Hombre","Trail Long"
"76",12,109,"Claudio Felipe Verdugo Rivas","CHI",05:52:16,"Hombre","Trail Short"
"77",12,168,"Cecilia Diaz","CHI",07:21:56,"Mujer","Trail Short"
"78",12,434,"Claudio Sanhueza Roa","CHI",01:16:21,"Hombre","Mountain Classic Senior"
"79",12,562,"Alison Mella cuevas","CHI",01:40:42,"Mujer","Mountain Classic Senior"
"80",12,779,"John Leandro Neumann Peña","CHI",00:41:19,"Hombre","Mountain Classic Junior"
"81",13,22,"felipe balboa","CHI",11:01:52,"Hombre","Trail Long"
"82",13,120,"Gonzalo Núñez Vasquez","CHI",05:53:17,"Hombre","Trail Short"
